Domain,YearsOfExperience,Year,Salary
data,4,2022,139267
frontend,4,2022,133111
data,18,2022,220978
backend,16,2022,166320
backend,16,2022,155920
data,17,2022,207470
healthcare,15,2022,128810
data,5,2022,163040
healthcare,7,2022,143249
education,10,2022,107104
backend,16,2022,207503
fullstack,16,2022,154582
fullstack,14,2022,148846
education,16,2022,115240
education,3,2022,102765
fullstack,16,2022,189984
design,17,2022,123840
data,19,2022,222848
frontend,16,2022,168802
fullstack,5,2022,157441
fullstack,20,2022,203488
fullstack,0,2022,132740
healthcare,1,2022,96453
backend,5,2022,169111
devops,14,2022,214609
devops,9,2022,178095
ml,4,2022,171292
backend,11,2022,148326
frontend,4,2022,141248
education,19,2022,115246
backend,16,2022,195418
data,0,2022,132196
design,11,2022,111416
fullstack,18,2022,202969
data,8,2022,163162
backend,14,2022,200512
devops,18,2022,192889
frontend,13,2022,131814
data,2,2022,133330
devops,6,2022,150403
design,12,2022,139738
healthcare,1,2022,96563
frontend,0,2022,107398
devops,0,2022,131687
healthcare,10,2022,117204
data,17,2022,194162
data,15,2022,184922
devops,6,2022,159055
education,7,2022,112563
backend,19,2022,165689
data,14,2022,182199
ml,10,2022,232882
ml,20,2022,239163
devops,1,2022,166644
education,3,2022,90631
ml,18,2022,226604
education,0,2022,96376
education,6,2022,100832
education,16,2022,108495
design,9,2022,110679
data,1,2022,161162
ml,9,2022,210647
business,3,2022,105076
ml,12,2022,194757
frontend,0,2022,103985
education,10,2022,108995
healthcare,18,2022,150203
data,8,2022,166940
healthcare,7,2022,112852
business,9,2022,146974
business,5,2022,122607
backend,6,2022,175770
backend,7,2022,149081
business,13,2022,124732
ml,1,2022,171928
business,1,2022,107533
data,18,2022,206883
data,10,2022,164983
healthcare,0,2022,95437
backend,18,2022,209563
education,19,2022,139500
devops,3,2022,183908
design,4,2022,99891
design,1,2022,104535
devops,1,2022,139675
business,6,2022,145745
data,13,2022,182185
backend,2,2022,145748
data,5,2022,181343
fullstack,2,2022,119197
backend,17,2022,160676
ml,12,2022,238224
data,14,2022,171602
design,19,2022,137483
data,15,2022,215782
data,18,2022,204114
business,9,2022,121909
backend,8,2022,152472
business,8,2022,117333
data,16,2022,191887
devops,17,2022,198220
design,18,2022,138030
ml,15,2022,222838
data,16,2022,213924
business,7,2022,139785
devops,1,2022,165934
business,1,2022,113504
design,11,2022,119813
education,16,2022,126208
design,11,2022,108987
business,16,2022,165747
fullstack,2,2022,142943
education,0,2022,80513
design,17,2022,146455
business,10,2022,128831
frontend,0,2022,129294
data,13,2022,190657
frontend,4,2022,123534
backend,15,2022,191027
backend,7,2022,137624
design,11,2022,118888
business,3,2022,119432
design,7,2022,134970
healthcare,0,2022,89080
ml,5,2022,175964
design,13,2022,113594
design,10,2022,141907
education,16,2022,124933
ml,10,2022,212585
design,18,2022,142430
healthcare,0,2022,99501
devops,18,2022,195991
business,9,2022,116744
education,6,2022,108191
backend,14,2022,184457
healthcare,16,2022,143145
healthcare,8,2022,140575
fullstack,4,2022,156072
data,2,2022,160939
ml,2,2022,155301
healthcare,14,2022,150723
healthcare,11,2022,140634
design,18,2022,127811
fullstack,3,2022,124210
data,16,2022,183726
fullstack,15,2022,189423
design,4,2022,109899
ml,16,2022,223349
education,1,2022,92804
healthcare,17,2022,149068
design,19,2022,159008
devops,15,2022,184117
data,1,2022,140785
backend,3,2022,161668
healthcare,5,2022,125508
backend,5,2022,168825
fullstack,12,2022,163086
design,10,2022,130120
fullstack,8,2022,177296
frontend,12,2022,172760
fullstack,14,2022,153174
backend,7,2022,143280
fullstack,17,2022,169736
fullstack,2,2022,146407
backend,11,2022,159437
fullstack,15,2022,192501
ml,9,2022,197317
design,14,2022,123594
frontend,14,2022,155410
devops,1,2022,169521
ml,14,2022,194858
frontend,18,2022,138480
education,13,2022,122149
education,11,2022,122224
frontend,10,2022,126369
healthcare,12,2022,134865
education,20,2022,118005
education,18,2022,115998
frontend,3,2022,111862
education,0,2022,77223
devops,16,2022,198358
frontend,11,2022,152957
backend,1,2022,138297
frontend,11,2022,164378
data,6,2022,161927
business,9,2022,157597
fullstack,8,2022,142186
design,11,2022,137316
backend,9,2022,167732
education,3,2022,93788
fullstack,8,2022,156707
education,14,2022,117707
education,14,2022,134839
backend,0,2022,110606
devops,9,2022,160867
backend,9,2022,159531
design,10,2022,135521
frontend,17,2022,169821
healthcare,17,2022,137009
data,19,2022,196210
frontend,18,2022,149301
devops,19,2022,231665
education,3,2022,92469
frontend,3,2022,117983
education,12,2022,104472
devops,4,2022,188973
design,8,2022,114802
ml,9,2022,185212
backend,0,2022,112316
design,12,2022,143243
design,9,2022,127592
backend,7,2022,148045
fullstack,8,2022,146005
data,9,2022,197950
data,18,2022,205294
fullstack,7,2022,156064
healthcare,3,2022,105800
ml,15,2022,239735
frontend,18,2022,146007
data,4,2022,176495
ml,2,2022,183144
healthcare,12,2022,129677
education,1,2022,85115
design,6,2022,112581
education,18,2022,105051
devops,18,2022,211326
backend,5,2022,176720
backend,10,2022,160709
data,12,2022,175537
ml,7,2022,209962
business,20,2022,141100
devops,5,2022,167336
backend,14,2022,197266
education,15,2022,137776
data,14,2022,183655
education,11,2022,119461
fullstack,14,2022,149675
design,12,2022,134521
fullstack,9,2022,166925
frontend,11,2022,155769
backend,7,2022,166988
devops,16,2022,172272
backend,20,2022,199659
design,9,2022,137939
frontend,19,2022,161049
fullstack,4,2022,136274
devops,12,2022,205589
frontend,19,2022,170811
data,6,2022,186789
ml,11,2022,184324
frontend,6,2022,120095
devops,3,2022,178614
devops,19,2022,201358
devops,20,2022,178773
frontend,19,2022,178976
business,8,2022,123965
backend,3,2022,143181
ml,9,2022,217393
data,13,2022,196351
frontend,14,2022,156117
frontend,17,2022,183173
education,8,2022,105508
ml,20,2022,215654
fullstack,7,2022,139237
business,0,2022,94953
business,12,2022,155564
healthcare,17,2022,165789
ml,11,2022,209017
education,2,2022,104830
devops,2,2022,143075
education,15,2022,130871
frontend,20,2022,169877
ml,8,2022,174274
healthcare,0,2022,104825
education,14,2022,132101
ml,4,2022,208854
fullstack,0,2022,116203
business,4,2022,117893
education,2,2022,97792
devops,17,2022,222556
fullstack,12,2022,181446
data,8,2022,180352
devops,19,2022,203555
devops,9,2022,202928
backend,12,2022,156969
data,7,2022,145821
education,12,2022,112492
backend,4,2022,166581
education,9,2022,97216
fullstack,9,2022,142775
ml,4,2022,170321
business,4,2022,114458
business,6,2022,126601
business,4,2022,128960
fullstack,10,2022,179417
ml,4,2022,200281
frontend,11,2022,132236
education,5,2022,93570
healthcare,15,2022,138595
frontend,5,2022,137881
data,17,2022,166686
data,6,2022,157297
frontend,13,2022,148919
healthcare,7,2022,117461
design,6,2022,134790
backend,15,2022,195095
ml,3,2022,161389
fullstack,16,2022,189149
ml,15,2022,200114
education,19,2022,116020
frontend,4,2022,125761
education,4,2022,113548
devops,2,2022,173572
data,15,2022,216009
business,13,2022,132490
fullstack,6,2022,168796
fullstack,15,2022,151442
healthcare,10,2022,147624
design,5,2022,127954
education,2,2022,102387
fullstack,10,2022,179845
backend,11,2022,152032
education,18,2022,141130
data,5,2022,169739
frontend,17,2022,159543
design,17,2022,139895
education,1,2022,80593
data,13,2022,203391
ml,0,2022,177814
data,3,2022,140874
data,0,2022,133591
ml,13,2022,223942
frontend,3,2022,135769
design,0,2022,90488
fullstack,2,2022,142377
education,0,2022,77301
healthcare,16,2022,141175
backend,19,2022,176025
ml,11,2022,176431
business,10,2022,125882
healthcare,14,2022,152105
backend,3,2022,158984
backend,2,2022,153355
education,5,2022,96776
data,17,2022,176430
data,0,2022,125800
data,11,2022,189043
fullstack,6,2022,140957
healthcare,9,2022,125773
healthcare,4,2022,131028
ml,6,2022,206900
design,16,2022,155088
fullstack,15,2022,187103
healthcare,19,2022,141837
devops,11,2022,201425
fullstack,8,2022,138409
education,17,2022,132359
fullstack,7,2022,135264
ml,18,2022,211610
healthcare,5,2022,109188
ml,7,2022,218413
data,5,2022,166545
frontend,10,2022,156822
design,3,2022,110303
fullstack,7,2022,140685
backend,12,2022,163968
fullstack,8,2022,160873
healthcare,7,2022,135032
education,19,2022,118035
frontend,1,2022,135163
frontend,7,2022,135595
ml,20,2022,194092
business,7,2022,120886
design,10,2022,110214
fullstack,18,2022,190764
education,20,2022,141840
backend,16,2022,162587
data,11,2022,170953
backend,15,2022,193931
frontend,17,2022,170429
data,8,2022,195753
fullstack,17,2022,168600
frontend,5,2022,142915
fullstack,20,2022,190519
ml,4,2022,180155
business,18,2022,162527
business,2,2022,102224
backend,8,2022,175314
education,4,2022,109686
frontend,7,2022,153402
ml,9,2022,173149
education,4,2022,113539
devops,9,2022,164177
devops,5,2022,153186
healthcare,7,2022,109963
business,11,2022,139860
healthcare,0,2022,91238
ml,8,2022,206993
frontend,14,2022,158418
data,13,2022,189717
devops,0,2022,150265
healthcare,2,2022,98916
business,14,2022,126027
frontend,5,2022,155905
business,15,2022,134076
frontend,10,2022,135448
data,15,2022,168248
ml,8,2022,208086
frontend,2,2022,137727
business,14,2022,166543
healthcare,10,2022,119257
education,18,2022,122770
business,10,2022,134102
ml,15,2022,215721
education,4,2022,94626
frontend,9,2022,135440
healthcare,0,2022,107073
design,5,2022,110684
education,14,2022,133395
education,12,2022,124220
devops,19,2022,226442
data,14,2022,209559
design,3,2022,101619
business,14,2022,159275
healthcare,16,2022,157413
fullstack,6,2022,162942
education,1,2022,85888
fullstack,11,2022,158701
education,18,2022,109239
education,3,2022,108385
design,17,2022,130180
business,19,2022,134006
data,4,2022,138188
design,2,2022,113397
fullstack,9,2022,136397
business,8,2022,149836
fullstack,11,2022,149138
fullstack,6,2022,131086
frontend,1,2022,116514
business,3,2022,105269
design,16,2022,156757
ml,12,2022,222232
business,18,2022,151436
ml,8,2022,214871
education,1,2022,88676
healthcare,3,2022,123920
devops,16,2022,185985
frontend,15,2022,179201
ml,20,2022,201737
data,3,2022,151925
data,16,2022,178431
ml,11,2022,233492
frontend,19,2022,185145
backend,20,2022,195557
devops,6,2022,172597
healthcare,9,2022,112259
fullstack,3,2022,120315
data,20,2022,168882
backend,20,2022,216599
healthcare,20,2022,139941
ml,15,2022,223266
backend,10,2022,162171
business,13,2022,134952
healthcare,12,2022,148123
fullstack,19,2022,183606
education,17,2022,132994
design,14,2022,116898
business,15,2022,147805
healthcare,9,2022,128772
devops,16,2022,190380
frontend,13,2022,136243
frontend,5,2022,116763
devops,14,2022,222014
devops,7,2022,175344
backend,12,2022,148185
devops,8,2022,169600
ml,20,2022,251255
data,14,2022,161604
ml,15,2022,246124
fullstack,1,2022,120956
backend,9,2022,142147
devops,16,2022,223967
business,20,2022,160708
fullstack,11,2022,171439
ml,10,2022,225158
design,5,2022,132471
healthcare,2,2022,119823
frontend,13,2022,148088
healthcare,0,2022,99503
frontend,10,2022,128635
frontend,9,2022,161878
education,0,2022,89921
education,10,2022,110567
backend,13,2022,177067
design,15,2022,118717
education,7,2022,115024
devops,7,2022,158292
design,3,2022,96488
frontend,8,2022,127079
fullstack,14,2022,150038
design,1,2022,96699
design,4,2022,98043
business,20,2022,135105
devops,11,2022,212405
ml,19,2022,213344
backend,12,2022,169165
ml,14,2022,241420
business,9,2022,120419
data,11,2022,193437
fullstack,19,2022,206118
design,20,2022,122415
frontend,11,2022,159620
backend,11,2022,180994
frontend,14,2022,175103
design,0,2022,107971
fullstack,15,2022,189587
data,14,2022,211195
business,9,2022,145419
fullstack,8,2022,159144
backend,6,2022,140579
frontend,17,2022,139742
healthcare,7,2022,146462
healthcare,10,2022,115234
business,15,2022,132433
fullstack,14,2022,176460
data,16,2022,175388
business,6,2022,121094
data,15,2022,214166
fullstack,8,2022,153531
frontend,8,2022,155494
devops,13,2022,201104
healthcare,15,2022,150044
data,12,2022,176900
education,9,2022,102668
fullstack,5,2022,156976
frontend,17,2022,149829
devops,7,2022,177067
data,19,2022,214835
data,2,2022,137966
frontend,5,2022,123427
devops,6,2022,171895
backend,13,2022,174882
fullstack,3,2022,136175
frontend,2,2022,132053
data,13,2022,181478
backend,9,2022,152954
fullstack,15,2022,157238
fullstack,13,2022,171946
education,5,2022,93543
education,0,2022,93629
fullstack,1,2022,122999
business,0,2022,94585
education,20,2022,133589
data,17,2022,181781
data,5,2022,151839
backend,7,2022,146515
frontend,19,2022,185244
design,20,2022,125235
healthcare,17,2022,134959
healthcare,12,2022,135895
backend,9,2022,166056
data,19,2022,189727
backend,20,2022,165164
devops,10,2022,192913
ml,12,2022,216270
education,18,2022,122964
design,18,2022,137183
design,16,2022,132217
healthcare,16,2022,157881
backend,5,2022,134896
business,3,2022,110291
backend,15,2022,155483
ml,20,2022,249449
business,16,2022,160449
business,12,2022,130323
backend,12,2022,171258
ml,19,2022,249250
data,8,2022,156518
backend,3,2022,150343
design,12,2022,116112
fullstack,6,2022,150254
education,7,2022,111196
fullstack,14,2022,148085
devops,14,2022,216654
education,18,2022,106758
devops,2,2022,156226
data,5,2022,143335
backend,19,2022,164373
devops,4,2022,184134
frontend,6,2022,134997
business,20,2022,149362
design,13,2022,128058
ml,18,2022,221148
fullstack,2,2022,153746
healthcare,14,2022,161687
backend,5,2022,163351
education,7,2022,115708
devops,8,2022,167131
business,10,2022,124694
business,4,2022,138890
data,20,2022,179513
frontend,0,2022,126574
fullstack,13,2022,188414
backend,4,2022,137609
ml,18,2022,205462
ml,19,2022,233296
frontend,8,2022,128634
business,6,2022,147403
business,4,2022,120372
data,14,2022,165075
design,6,2022,117402
devops,11,2022,170213
data,16,2022,185736
frontend,5,2022,119255
data,6,2022,188736
devops,13,2022,204924
education,20,2022,123747
backend,13,2022,190947
backend,13,2022,173031
frontend,16,2022,163458
data,9,2022,181602
devops,4,2022,187330
ml,19,2022,249869
business,17,2022,168111
design,16,2022,139673
design,5,2022,111089
frontend,2,2022,134519
fullstack,15,2022,195477
data,9,2022,172989
backend,13,2022,156669
ml,1,2022,171964
fullstack,20,2022,180472
data,2,2022,153078
business,5,2022,132552
education,1,2022,85179
education,12,2022,127423
fullstack,16,2022,163329
design,12,2022,125799
fullstack,6,2022,139172
frontend,6,2022,152123
education,12,2022,104986
fullstack,6,2022,173301
fullstack,17,2022,154224
healthcare,8,2022,134224
ml,2,2022,150570
healthcare,7,2022,137279
design,10,2022,140628
data,8,2022,155304
fullstack,17,2022,195320
healthcare,16,2022,137125
ml,8,2022,208400
fullstack,9,2022,167893
frontend,18,2022,184784
frontend,7,2022,157902
ml,14,2022,242259
ml,20,2022,201264
healthcare,7,2022,126394
frontend,17,2022,177783
devops,2,2022,159599
design,1,2022,88890
devops,15,2022,214303
design,13,2022,131739
fullstack,6,2022,161382
frontend,12,2022,149835
backend,9,2022,147493
fullstack,6,2022,173438
fullstack,11,2022,174280
design,15,2022,116721
business,3,2022,111924
design,18,2022,137824
frontend,5,2022,141385
ml,4,2022,169815
backend,19,2022,209721
data,4,2022,168638
healthcare,20,2022,166575
ml,0,2022,151597
business,15,2022,159712
data,8,2022,149293
frontend,6,2022,146520
backend,17,2022,212126
devops,13,2022,178414
design,20,2022,147755
data,19,2022,173585
fullstack,9,2022,157873
data,3,2022,139340
backend,12,2022,158275
education,16,2022,103718
frontend,9,2022,136894
healthcare,0,2022,98491
data,11,2022,167136
devops,14,2022,213947
ml,17,2022,207284
healthcare,10,2022,151806
design,4,2022,109149
design,5,2022,133393
data,5,2022,161655
education,19,2022,115036
business,5,2022,111632
healthcare,19,2022,132888
business,19,2022,147579
fullstack,1,2022,117335
healthcare,5,2022,141872
healthcare,19,2022,150465
business,2,2022,120308
fullstack,19,2022,153560
ml,7,2022,204809
healthcare,14,2022,158932
design,13,2022,118089
frontend,12,2022,133461
devops,7,2022,195791
healthcare,1,2022,112672
design,16,2022,130770
backend,15,2022,196406
education,18,2022,111425
frontend,10,2022,152575
devops,17,2022,227402
fullstack,15,2022,163951
fullstack,6,2022,171574
ml,2,2022,163769
frontend,0,2022,114902
frontend,1,2022,118511
business,16,2022,130245
healthcare,3,2022,119765
backend,16,2022,169165
fullstack,3,2022,122285
backend,11,2022,177809
business,8,2022,141897
data,3,2022,159253
ml,20,2022,224452
data,14,2022,212805
healthcare,0,2022,94893
backend,19,2022,166803
data,4,2022,137455
design,20,2022,145352
ml,10,2022,200315
ml,15,2022,194973
fullstack,8,2022,153215
backend,5,2022,153657
ml,7,2022,201405
devops,12,2022,182326
devops,0,2022,149405
frontend,1,2022,121296
healthcare,10,2022,135386
design,14,2022,135293
backend,16,2022,161433
design,3,2022,114147
education,4,2022,86507
healthcare,8,2022,118356
frontend,13,2022,150387
data,20,2022,201273
business,1,2022,108276
frontend,4,2022,116316
ml,1,2022,186526
backend,1,2022,152781
frontend,15,2022,145100
healthcare,0,2022,92402
frontend,7,2022,156920
data,10,2022,175685
education,18,2022,112810
business,17,2022,162937
fullstack,7,2022,150523
devops,18,2022,228983
frontend,19,2022,140851
backend,3,2022,137807
healthcare,1,2022,118582
devops,12,2022,173647
frontend,19,2022,182063
business,11,2022,151189
backend,15,2022,188159
devops,4,2022,175134
business,1,2022,119664
ml,2,2022,151018
backend,1,2022,140962
backend,20,2022,194282
ml,5,2022,173109
frontend,17,2022,166836
fullstack,7,2022,169906
data,2,2022,144247
healthcare,8,2022,134649
ml,5,2022,184908
frontend,9,2022,128551
fullstack,6,2022,164929
backend,18,2022,185485
devops,8,2022,154182
ml,19,2022,239385
ml,20,2022,199000
healthcare,13,2022,124665
ml,17,2022,194047
frontend,11,2022,164373
ml,18,2022,223129
devops,7,2022,161147
data,1,2022,132389
design,20,2022,135270
frontend,6,2022,118744
fullstack,16,2022,191275
ml,3,2022,161431
ml,8,2022,212583
education,2,2022,79355
data,4,2022,142938
business,7,2022,125570
frontend,15,2022,165943
fullstack,2,2022,136220
frontend,13,2022,141949
design,1,2022,99078
healthcare,19,2022,126805
education,20,2022,113723
healthcare,0,2022,87878
data,9,2022,177298
ml,12,2022,228347
backend,11,2022,147021
fullstack,10,2022,145388
business,13,2022,138032
ml,5,2022,198927
backend,1,2022,115129
design,8,2022,130317
design,5,2022,122754
devops,16,2022,174807
frontend,1,2022,104754
healthcare,9,2022,140489
backend,10,2022,149324
business,11,2022,157149
healthcare,9,2022,132936
design,12,2022,111986
ml,19,2022,234729
ml,16,2022,217709
business,16,2022,130112
data,10,2022,201929
business,0,2022,120590
data,2,2022,167510
fullstack,1,2022,142128
fullstack,2,2022,129803
frontend,6,2022,151350
ml,7,2022,203521
data,10,2022,178127
education,2,2022,90197
ml,8,2022,214254
design,0,2022,88971
design,15,2022,148458
healthcare,3,2022,123499
devops,3,2022,157788
frontend,8,2022,148288
backend,0,2022,113136
business,18,2022,135010
ml,2,2022,151699
design,0,2022,92264
frontend,12,2022,129751
frontend,12,2022,129323
healthcare,19,2022,162259
frontend,15,2022,136431
education,5,2022,87999
business,19,2022,173722
frontend,15,2022,141182
business,0,2022,109150
backend,19,2022,181956
business,5,2022,139503
devops,5,2022,195593
design,5,2022,105900
fullstack,4,2022,123698
ml,15,2022,206335
backend,13,2022,181063
business,19,2022,150697
ml,14,2022,219530
frontend,7,2022,129619
frontend,4,2022,133608
devops,2,2022,166669
backend,10,2022,150611
data,4,2022,162819
ml,13,2022,198070
frontend,16,2022,144826
design,5,2022,128247
data,20,2022,187398
data,18,2022,210399
data,7,2022,188057
fullstack,14,2022,194350
ml,20,2022,195579
design,19,2022,128859
data,9,2022,170044
data,8,2022,196523
design,18,2022,142676
education,6,2022,93374
education,12,2022,101146
design,16,2022,151138
backend,15,2022,165637
design,12,2022,146461
data,19,2022,169852
healthcare,19,2022,159453
backend,3,2022,149423
data,4,2022,171065
devops,6,2022,156734
backend,16,2022,170482
frontend,16,2022,176165
devops,11,2022,199568
data,12,2022,167998
frontend,17,2022,174433
design,20,2022,146773
devops,13,2022,217495
devops,5,2022,194668
data,18,2022,187422
ml,0,2022,143677
data,0,2022,154989
fullstack,17,2022,184213
design,16,2022,137480
backend,2,2022,139603
devops,17,2022,182295
design,16,2022,119032
backend,2,2022,150853
education,7,2022,97601
ml,2,2022,172173
data,1,2022,149254
business,8,2022,135029
business,2,2022,111881
fullstack,12,2022,167942
education,4,2022,113117
business,9,2022,145724
ml,14,2022,226516
frontend,16,2022,149711
ml,0,2022,139771
design,9,2022,138440
healthcare,11,2022,149395
business,17,2022,148048
data,15,2022,184996
data,8,2022,147816
education,6,2022,110360
ml,12,2022,199003
frontend,6,2022,148296
data,8,2022,148151
fullstack,1,2022,130772
healthcare,19,2022,169446
devops,12,2022,215486
backend,16,2022,210177
data,0,2022,142768
design,20,2022,123156
fullstack,7,2022,157831
backend,5,2022,162637
data,5,2022,172890
ml,1,2022,169972
backend,4,2022,170014
business,0,2022,99108
business,8,2022,138888
business,7,2022,121831
healthcare,18,2022,161828
backend,0,2022,146942
design,4,2022,108686
ml,9,2022,218405
design,8,2022,110833
data,10,2022,192663
education,11,2022,124544
healthcare,0,2022,91755
fullstack,2,2022,131877
devops,10,2022,209384
fullstack,3,2022,155471
healthcare,20,2022,152926
data,14,2022,188758
devops,7,2022,159995
healthcare,0,2022,117992
fullstack,7,2022,156809
design,8,2022,115859
backend,11,2022,157456
design,19,2022,149748
fullstack,16,2022,171268
frontend,17,2022,155983
frontend,2,2022,139655
backend,5,2022,145169
frontend,4,2022,143396
backend,18,2022,207895
ml,18,2022,220183
healthcare,5,2022,107384
education,12,2022,129130
frontend,18,2022,166826
devops,16,2022,231336
education,7,2022,97635
fullstack,16,2022,182105
education,20,2022,115128
education,3,2022,100611
frontend,1,2022,123575
design,8,2022,108731
business,5,2022,126999
devops,5,2022,179480
frontend,14,2022,142250
fullstack,13,2022,164878
devops,20,2022,205341
fullstack,10,2022,177960
backend,19,2022,162989
healthcare,12,2022,138925
design,18,2022,146767
devops,10,2022,163496
fullstack,4,2022,130925
business,1,2022,102298
design,5,2022,122259
fullstack,4,2022,135371
business,15,2022,170058
ml,8,2022,206480
backend,3,2022,160059
devops,0,2022,135871
design,12,2022,139174
ml,12,2022,178619
education,0,2022,95369
data,12,2022,199788
healthcare,8,2022,148797
healthcare,1,2022,96158
backend,5,2022,150965
fullstack,10,2022,139915
healthcare,18,2022,144077
fullstack,11,2022,145749
devops,19,2022,181448
healthcare,0,2022,106743
business,20,2022,153426
design,4,2022,103831
healthcare,5,2022,138514
frontend,19,2022,152714
frontend,14,2022,166964
backend,14,2022,161288
devops,0,2022,162473
backend,3,2022,131133
devops,16,2022,201003
frontend,16,2022,148277
education,4,2022,108230
design,20,2022,134045
ml,12,2022,241233
devops,9,2022,184588
data,10,2022,181660
design,6,2022,113007
frontend,16,2022,154426
data,16,2022,184580
education,7,2022,110945
ml,0,2022,152144
healthcare,16,2022,156214
data,4,2022,145382
healthcare,1,2022,119748
fullstack,3,2022,124295
data,0,2022,125875
business,17,2022,140052
education,11,2022,123789
backend,1,2022,144866
education,9,2022,117399
devops,18,2022,213082
backend,13,2022,201501
frontend,11,2022,156006
ml,9,2022,213394
backend,18,2022,180578
design,10,2022,143182
healthcare,8,2022,135914
frontend,20,2022,161004
business,7,2022,137768
healthcare,14,2022,145889
backend,9,2022,177770
education,7,2022,120218
devops,8,2022,186497
backend,2,2022,147265
data,19,2022,206649
devops,3,2022,169147
design,20,2022,149278
design,17,2022,141604
healthcare,9,2022,119620
education,16,2022,137386
design,1,2022,89491
data,8,2022,197589
devops,15,2022,222935
frontend,18,2022,183188
data,17,2022,202990
design,1,2022,87346
education,2,2022,103245
frontend,16,2022,143350
design,16,2022,117980
ml,4,2022,207375
design,20,2022,126840
frontend,16,2022,177171
education,15,2022,119074
frontend,16,2022,136316
frontend,20,2022,173985
backend,6,2022,141749
data,10,2022,158799
backend,2,2022,120624
frontend,5,2022,132569
ml,5,2022,204226
data,2,2022,158479
design,18,2022,121562
frontend,13,2022,162323
devops,20,2022,202800
devops,9,2022,192742
data,4,2022,163267
healthcare,18,2022,168386
devops,19,2022,208971
devops,3,2022,175738
data,4,2022,164650
frontend,20,2022,154396
data,1,2022,140097
business,11,2022,156179
design,16,2022,126467
ml,6,2022,179260
backend,6,2022,143129
data,14,2022,194991
business,0,2022,113892
education,20,2022,126376
backend,4,2022,163558
frontend,17,2022,144321
ml,1,2022,151693
frontend,3,2022,119684
business,7,2022,132804
fullstack,16,2022,182619
business,12,2022,126955
backend,7,2022,179752
data,15,2022,166469
data,14,2022,165490
healthcare,13,2022,124085
design,5,2022,112556
fullstack,17,2022,181607
frontend,5,2022,134792
data,0,2022,131401
fullstack,8,2022,141633
backend,17,2022,187940
design,18,2022,118412
business,17,2022,163168
data,3,2022,167680
devops,15,2022,222674
frontend,8,2022,151388
fullstack,0,2022,138289
frontend,2,2022,118883
backend,14,2022,163163
business,0,2022,99822
fullstack,5,2022,163144
healthcare,16,2022,126950
backend,9,2022,177833
business,11,2022,154992
ml,17,2022,252401
frontend,13,2022,143029
healthcare,16,2022,141278
fullstack,0,2022,133248
healthcare,7,2022,138246
data,19,2022,219081
education,5,2022,118348
backend,7,2022,175541
fullstack,15,2022,150365
education,1,2022,91572
fullstack,20,2022,191962
healthcare,8,2022,144909
ml,2,2022,175761
education,12,2022,120337
devops,14,2022,217773
backend,7,2022,170215
design,4,2022,121575
fullstack,20,2022,157144
fullstack,9,2022,178463
backend,1,2022,149133
devops,5,2022,153638
backend,8,2022,183513
healthcare,1,2022,103387
fullstack,12,2022,167450
data,7,2022,180400
fullstack,8,2022,162774
fullstack,8,2022,169475
ml,4,2022,190301
business,13,2022,133673
devops,3,2022,163322
fullstack,18,2022,182334
frontend,6,2022,120718
backend,20,2022,169076
education,8,2022,112654
frontend,3,2022,128699
fullstack,11,2022,156558
devops,3,2022,163424
healthcare,2,2022,112905
frontend,14,2022,172305
frontend,19,2022,183018
fullstack,11,2022,174512
fullstack,2,2022,115014
business,18,2022,137915
devops,11,2022,194167
ml,5,2022,171628
education,19,2022,109569
fullstack,14,2022,187397
data,10,2022,151794
ml,15,2022,206860
business,8,2022,130800
backend,6,2022,154852
fullstack,18,2022,199913
backend,20,2022,180279
devops,0,2022,148255
healthcare,19,2022,143007
data,0,2022,120459
business,1,2022,101755
frontend,12,2022,162965
devops,1,2022,131798
ml,13,2022,189850
devops,12,2022,191203
ml,11,2022,190771
devops,1,2022,167043
business,16,2022,129739
design,14,2022,129132
frontend,7,2022,141781
backend,9,2022,142154
education,3,2022,93178
backend,8,2022,172405
ml,0,2022,178087
fullstack,7,2022,139293
education,11,2022,128944
business,10,2022,158683
design,19,2022,130828
ml,20,2022,249500
data,4,2022,162396
devops,9,2022,175291
fullstack,19,2022,163222
business,17,2022,160275
data,19,2022,205912
data,20,2022,173434
data,7,2022,168921
backend,11,2022,170648
fullstack,6,2022,169220
business,1,2022,116660
healthcare,1,2022,101878
backend,4,2022,151914
design,20,2022,142295
devops,1,2022,128669
education,11,2022,128881
business,11,2022,161479
backend,19,2022,178466
business,10,2022,140983
frontend,12,2022,136862
business,3,2022,127913
healthcare,11,2022,154026
design,17,2022,130067
healthcare,10,2022,131935
frontend,13,2022,167269
fullstack,6,2022,140114
backend,11,2022,193626
ml,5,2022,205027
ml,1,2022,187106
ml,9,2022,214935
devops,19,2022,236347
healthcare,13,2022,151375
frontend,20,2022,172717
devops,9,2022,206030
education,6,2022,99143
education,10,2022,112543
fullstack,8,2022,152041
data,4,2022,141964
business,17,2022,141046
business,16,2022,166135
design,12,2022,133903
data,13,2022,205280
design,13,2022,117448
devops,17,2022,181434
business,7,2022,148073
ml,20,2022,211578
backend,16,2022,169310
design,11,2022,136706
data,16,2022,191360
education,6,2022,117243
healthcare,13,2022,129954
data,6,2022,175727
backend,18,2022,194157
ml,3,2022,180139
healthcare,3,2022,111121
education,20,2022,115219
design,16,2022,124998
frontend,19,2022,159755
frontend,7,2022,145230
